n_enh_elements	n_genes_with_enh	n_enh_gene_links	mean_genes_per_enh	mean_enh_per_gene	mean_dist_to_tss	mean_enh_width	n_genes_active_promoter	n_genes_not_expressed	cluster	model_name	fragments_total	cell_count	umi_count
36435	8411	49924	1.370220941	5.935560575	88770.78686	737.304213	14389	3578	GM12878	multiome_powerlaw_v3	55584995	3050	53092701
57680	11633	86413	1.498144938	7.42826442	107008.3125	712.92207	14389	0	GM12878	scATAC_powerlaw_v3	55584995	3050	53092701
47181	8851	64450	1.366015981	7.281663089	100851.2066	821.8606007	14361	2764	BMMC5_B	multiome_powerlaw_v3	108533444	9752	15555551
66546	11419	100818	1.515012172	8.828969262	108572.7922	798.3875364	14361	0	BMMC5_B	scATAC_powerlaw_v3	108533444	9752	15555551
43556	9275	62509	1.435140968	6.739514825	82952.87946	881.5687391	14365	2893	BMMC5_T	multiome_powerlaw_v3	222072654	22525	44125249
65658	11374	100044	1.52371379	8.795850185	94118.61583	838.6365866	14365	0	BMMC5_T	scATAC_powerlaw_v3	222072654	22525	44125249
46043	9119	63337	1.375605412	6.945608071	88334.43173	958.9852746	14364	2820	BMMC5_Myeloid	multiome_powerlaw_v3	240716012	14048	37490578
68052	11552	102441	1.505334156	8.867815097	96243.0438	945.8572268	14364	0	BMMC5_Myeloid	scATAC_powerlaw_v3	240716012	14048	37490578
42928	9092	58981	1.373951733	6.487131544	90677.75228	799.4809914	14368	2674	BMMC5_Dendritic	multiome_powerlaw_v3	46488900	2050	7617118
62067	11483	93077	1.499621377	8.105634416	101361.4883	776.4692671	14368	0	BMMC5_Dendritic	scATAC_powerlaw_v3	46488900	2050	7617118
42730	9506	61771	1.445611982	6.498106459	81036.15123	877.9572666	14363	3379	BMMC5_Erythroid	multiome_powerlaw_v3	111667704	8996	29597687
69703	12027	106196	1.523549919	8.829799618	92304.26832	844.6380787	14363	0	BMMC5_Erythroid	scATAC_powerlaw_v3	111667704	8996	29597687
43954	8687	60319	1.372321063	6.943593876	92672.24515	737.4952905	14326	2795	BMMC22_B1_B	multiome_powerlaw_v3	23486647	1890	3687554
62962	11394	96305	1.529573393	8.452255573	96307.44043	708.1692926	14326	0	BMMC22_B1_B	scATAC_powerlaw_v3	23486647	1890	3687554
46284	9029	64622	1.396206032	7.157160261	92497.50775	784.9757584	14352	2856	BMMC22_CD4_pos_T_activated	multiome_powerlaw_v3	57156953	5526	11969037
67930	11395	103492	1.523509495	9.082229048	97804.79504	746.6131606	14352	0	BMMC22_CD4_pos_T_activated	scATAC_powerlaw_v3	57156953	5526	11969037
44240	9012	62022	1.401943942	6.882157124	85360.12015	788.3104656	14365	2964	BMMC22_CD4_pos_T_naive	multiome_powerlaw_v3	49400738	4398	10343614
66665	11330	101533	1.523033076	8.961429832	93250.39158	742.5305483	14365	0	BMMC22_CD4_pos_T_naive	scATAC_powerlaw_v3	49400738	4398	10343614
37876	8456	51952	1.371633752	6.143803217	76823.62959	799.008607	14364	2929	BMMC22_CD8_pos_T	multiome_powerlaw_v3	101253810	11589	19839648
54305	11128	83126	1.530724611	7.469985622	84374.59159	775.0350796	14364	0	BMMC22_CD8_pos_T	scATAC_powerlaw_v3	101253810	11589	19839648
44367	8611	60581	1.3654518	7.035303681	88946.97808	696.0379111	14312	2848	BMMC22_CD8_pos_T_naive	multiome_powerlaw_v3	14261153	1012	1972950
64881	11260	99298	1.530463464	8.818650089	92268.69364	664.7818314	14312	0	BMMC22_CD8_pos_T_naive	scATAC_powerlaw_v3	14261153	1012	1972950
45275	8757	61697	1.362716731	7.045449355	88388.64339	962.9838321	14366	3078	BMMC22_CD14_pos_Mono	multiome_powerlaw_v3	187119297	10843	27438983
68288	11516	103279	1.512403351	8.968304967	92481.36246	949.7486821	14366	0	BMMC22_CD14_pos_Mono	scATAC_powerlaw_v3	187119297	10843	27438983
43181	8522	58528	1.355410945	6.867871392	93003.2279	731.7141567	14378	3109	BMMC22_CD16_pos_Mono	multiome_powerlaw_v3	23116168	1894	5226526
63108	11444	95239	1.509143056	8.32217756	96436.95578	703.8639634	14378	0	BMMC22_CD16_pos_Mono	scATAC_powerlaw_v3	23116168	1894	5226526
41312	8990	56328	1.363477924	6.265628476	89127.04598	709.2756826	14373	2731	BMMC22_cDC2	multiome_powerlaw_v3	18430143	859	3770970
59820	11523	89366	1.493915079	7.75544563	98808.83096	684.0466399	14373	0	BMMC22_cDC2	scATAC_powerlaw_v3	18430143	859	3770970
43601	8570	59190	1.357537671	6.906651109	79336.13744	793.5619367	14370	3783	BMMC22_Erythroblast	multiome_powerlaw_v3	53933558	4916	16385944
73002	11733	112221	1.537231857	9.564561493	85198.11395	751.5647106	14370	0	BMMC22_Erythroblast	scATAC_powerlaw_v3	53933558	4916	16385944
43690	9312	59675	1.365873198	6.408397766	93511.91635	780.7484779	14373	2435	BMMC22_G_M_prog	multiome_powerlaw_v3	29839428	1203	4723463
62260	11592	92404	1.484163187	7.971359558	103436.792	754.9269997	14373	0	BMMC22_G_M_prog	scATAC_powerlaw_v3	29839428	1203	4723463
45216	9139	61126	1.351866596	6.688477952	104160.649	768.3073027	14369	2510	BMMC22_HSC	multiome_powerlaw_v3	24153164	1072	3816366
65913	11576	97292	1.476066937	8.40463027	111911.8806	741.3152489	14369	0	BMMC22_HSC	scATAC_powerlaw_v3	24153164	1072	3816366
24979	6234	30407	1.217302534	4.877606673	49765.81027	633.5707194	13361	4873	BMMC22_ID2_hi_myeloid_prog	multiome_powerlaw_v3	641119	108	101606
42939	10450	61183	1.424881809	5.854832536	68186.18348	625.296863	13361	0	BMMC22_ID2_hi_myeloid_prog	scATAC_powerlaw_v3	641119	108	101606
38687	8054	52694	1.362059607	6.542587534	92972.80334	630.2527464	14202	3206	BMMC22_ILC	multiome_powerlaw_v3	4939553	835	1068016
57480	11151	88713	1.543371608	7.955609362	99311.63654	610.0651183	14202	0	BMMC22_ILC	scATAC_powerlaw_v3	4939553	835	1068016
45788	9063	62685	1.369026819	6.916583913	106690.7049	761.8759282	14352	2588	BMMC22_Lymph_prog	multiome_powerlaw_v3	33701834	1779	5744655
66436	11364	98697	1.485595159	8.685058078	118754.3082	735.1876994	14352	0	BMMC22_Lymph_prog	scATAC_powerlaw_v3	33701834	1779	5744655
44018	9284	59801	1.358557863	6.441296855	95820.70982	734.8725521	14371	2758	BMMC22_MK_E_prog	multiome_powerlaw_v3	20932502	884	4116841
64438	11947	96399	1.495996151	8.068887587	104794.527	710.1882274	14371	0	BMMC22_MK_E_prog	scATAC_powerlaw_v3	20932502	884	4116841
44477	8515	60170	1.352834049	7.066353494	97659.486	768.4511995	14362	2924	BMMC22_Naive_CD20_pos_B	multiome_powerlaw_v3	52749302	5052	7811794
63784	11320	96744	1.516744011	8.546289753	101056.935	747.849398	14362	0	BMMC22_Naive_CD20_pos_B	scATAC_powerlaw_v3	52749302	5052	7811794
46428	8685	63835	1.374924614	7.350028785	96921.3346	801.034462	14355	2868	BMMC22_NK	multiome_powerlaw_v3	68089985	6929	12899897
67420	11189	102723	1.523628004	9.1807132	101150.7706	768.1709878	14355	0	BMMC22_NK	scATAC_powerlaw_v3	68089985	6929	12899897
39709	7677	52768	1.328867511	6.873518301	91094.77098	603.3051449	14644	4352	BMMC22_Normoblast	multiome_powerlaw_v3	7048191	1780	2667490
65665	11713	102687	1.563801112	8.766925638	94433.97032	580.3873601	14644	0	BMMC22_Normoblast	scATAC_powerlaw_v3	7048191	1780	2667490
42180	8855	57618	1.366002845	6.506832298	93068.56968	790.4654339	14354	2677	BMMC22_pDC	multiome_powerlaw_v3	28058757	1191	3846148
60953	11336	92125	1.511410431	8.126764291	101048.9339	760.9147048	14354	0	BMMC22_pDC	scATAC_powerlaw_v3	28058757	1191	3846148
44749	8933	62056	1.386757246	6.946826374	93283.47813	615.4660216	14500	2901	BMMC22_Plasma_cell	multiome_powerlaw_v3	5799661	379	1534514
64449	11727	99228	1.539635991	8.461499105	99290.05962	591.4946857	14500	0	BMMC22_Plasma_cell	scATAC_powerlaw_v3	5799661	379	1534514
43570	9316	59588	1.367638283	6.396307428	84886.6886	804.7265779	14360	3030	BMMC22_Proerythroblast	multiome_powerlaw_v3	50685955	2300	10544253
66118	12143	99925	1.511313107	8.229020835	93657.31925	782.9666203	14360	0	BMMC22_Proerythroblast	scATAC_powerlaw_v3	50685955	2300	10544253
44261	8640	59773	1.350466551	6.918171296	108206.6091	736.7472945	14375	2849	BMMC22_Transitional_B	multiome_powerlaw_v3	32297495	2810	4056203
63975	11339	96023	1.500945682	8.468383455	111041.8223	712.028433	14375	0	BMMC22_Transitional_B	scATAC_powerlaw_v3	32297495	2810	4056203
42813	8460	58335	1.36255343	6.895390071	90257.98893	700.9187396	14370	3020	PBMC5_B	multiome_powerlaw_v3	28682521	1109	3849147
61297	11356	93669	1.5281172	8.248414935	96706.9922	680.4065615	14370	0	PBMC5_B	scATAC_powerlaw_v3	28682521	1109	3849147
37960	8052	50596	1.332876712	6.283656234	85853.97012	652.3210748	14403	3492	PBMC5_DC	multiome_powerlaw_v3	9410495	302	2222284
58269	11357	87967	1.509670665	7.745619442	92937.23565	631.1140915	14403	0	PBMC5_DC	scATAC_powerlaw_v3	9410495	302	2222284
44396	8384	60167	1.355234706	7.176407443	88288.3468	785.9804937	14365	3256	PBMC5_Mono	multiome_powerlaw_v3	133069893	4953	21981115
65910	11228	98899	1.500515855	8.808247239	100025.2041	772.2840237	14365	0	PBMC5_Mono	scATAC_powerlaw_v3	133069893	4953	21981115
41265	8027	55570	1.34666182	6.922885262	90091.13157	656.3992972	14444	3455	PBMC5_NK	multiome_powerlaw_v3	14226629	774	2083784
61900	11256	94596	1.528206785	8.404051173	98720.0984	633.4659289	14444	0	PBMC5_NK	scATAC_powerlaw_v3	14226629	774	2083784
39837	8366	54862	1.377161935	6.557733684	76734.65939	846.1774481	14362	3228	PBMC5_T	multiome_powerlaw_v3	196672373	11045	29396979
57479	11170	88009	1.531150507	7.87905103	87602.62762	815.3235269	14362	0	PBMC5_T	scATAC_powerlaw_v3	196672373	11045	29396979
38135	8209	51327	1.345928937	6.252527713	82217.11566	661.3262357	14342	3173	PBMC_10_cDC	multiome_powerlaw_v3	12468258	333	2531697
56341	11226	84804	1.505191601	7.554249065	90900.18954	641.1635221	14342	0	PBMC_10_cDC	scATAC_powerlaw_v3	12468258	333	2531697
42257	7988	56236	1.330809097	7.04006009	88961.65638	671.4217526	14409	3506	PBMC_11_CD14.Mono.1	multiome_powerlaw_v3	11971391	461	1724735
64396	11281	96798	1.503167899	8.580622285	95659.9123	644.0597087	14409	0	PBMC_11_CD14.Mono.1	scATAC_powerlaw_v3	11971391	461	1724735
42057	7985	56213	1.336590817	7.039824671	89377.96517	759.1525311	14370	3509	PBMC_12_CD14.Mono.2	multiome_powerlaw_v3	67423901	2713	10893163
63981	11200	96181	1.50327441	8.587589286	98406.85359	741.8609431	14370	0	PBMC_12_CD14.Mono.2	scATAC_powerlaw_v3	67423901	2713	10893163
38081	7906	50576	1.328116383	6.397166709	84584.21752	664.7182584	14409	3604	PBMC_13_CD16.Mono	multiome_powerlaw_v3	13974742	593	3355850
57899	11230	87078	1.503963799	7.754051647	94627.88257	642.8535208	14409	0	PBMC_13_CD16.Mono	scATAC_powerlaw_v3	13974742	593	3355850
40656	8073	55108	1.355470287	6.826210826	92865.00079	680.9666224	14391	3430	PBMC_17_B	multiome_powerlaw_v3	17206034	882	2452494
60672	11403	93324	1.538172468	8.184162063	95683.41629	661.5187071	14391	0	PBMC_17_B	scATAC_powerlaw_v3	17206034	882	2452494
42794	8047	57379	1.340818806	7.13048341	85457.71954	635.8286208	14295	3337	PBMC_20_CD4.N1	multiome_powerlaw_v3	10209401	773	1391737
62703	11286	96114	1.532845318	8.516214779	89899.90421	616.5503564	14295	0	PBMC_20_CD4.N1	scATAC_powerlaw_v3	10209401	773	1391737
40356	8365	55199	1.367801566	6.598804543	78338.07161	842.1115324	14367	3260	PBMC_22_CD4.M	multiome_powerlaw_v3	149653079	8006	22817240
58476	11199	89611	1.532440659	8.00169658	89120.9502	811.51286	14367	0	PBMC_22_CD4.M	scATAC_powerlaw_v3	149653079	8006	22817240
40796	8163	55347	1.356677125	6.780227857	82388.59799	691.1075105	14375	3149	PBMC_24_CD8.CM	multiome_powerlaw_v3	34929980	2129	4919292
58609	11216	90176	1.538603286	8.039942939	86830.09011	672.3685441	14375	0	PBMC_24_CD8.CM	scATAC_powerlaw_v3	34929980	2129	4919292
40460	7906	54300	1.342066238	6.868201366	89696.2875	658.0771132	14375	3455	PBMC_25_NK	multiome_powerlaw_v3	13790261	757	2028730
60722	11161	92682	1.526333125	8.304094615	99160.16075	636.1682092	14375	0	PBMC_25_NK	scATAC_powerlaw_v3	13790261	757	2028730
41623	9202	59251	1.423515845	6.43892632	122063.452	920.4953752	14360	3055	Islets_beta	multiome_powerlaw_v3	669932653	36704	177995277
63639	11198	94239	1.480837222	8.415699232	158298.1916	880.3891953	14360	0	Islets_beta	scATAC_powerlaw_v3	669932653	36704	177995277
45223	8666	61188	1.353028326	7.060696977	160688.7892	950.6041616	14359	3035	Islets_alpha	multiome_powerlaw_v3	822138597	42072	192431608
64798	11157	95477	1.473455971	8.557587165	178605.1982	927.9934103	14359	0	Islets_alpha	scATAC_powerlaw_v3	822138597	42072	192431608
41448	9038	56842	1.371405134	6.289223279	135233.5395	879.6512015	14363	2805	Islets_delta	multiome_powerlaw_v3	124593841	6216	32767142
60181	11190	88656	1.473155979	7.922788204	155692.3464	846.9783486	14363	0	Islets_delta	scATAC_powerlaw_v3	124593841	6216	32767142
44674	8459	59507	1.332027578	7.034755881	159262.8665	762.9744146	14351	3021	Islets_PP	multiome_powerlaw_v3	29942534	1538	8973841
63598	11203	93540	1.470800969	8.349549228	160910.4784	736.8926224	14351	0	Islets_PP	scATAC_powerlaw_v3	29942534	1538	8973841
44476	9360	62500	1.405252271	6.677350427	119380.1158	875.2690889	14363	2711	Islets_acinar	multiome_powerlaw_v3	106302922	6119	28257627
64284	11465	95664	1.488146351	8.344003489	132214.8491	841.017376	14363	0	Islets_acinar	scATAC_powerlaw_v3	106302922	6119	28257627
43945	8885	59514	1.354283764	6.698255487	117833.6951	751.6244169	14350	2562	Islets_duct	multiome_powerlaw_v3	25942172	1320	7351941
60672	11192	90210	1.48684731	8.060221587	126444.2702	726.0769218	14350	0	Islets_duct	scATAC_powerlaw_v3	25942172	1320	7351941
43220	8947	59142	1.368394262	6.610260422	110955.6742	649.8492133	14349	2370	Islets_endothelial	multiome_powerlaw_v3	9103109	416	2996635
58747	11103	87873	1.495787019	7.914347474	119073.4971	627.0756124	14349	0	Islets_endothelial	scATAC_powerlaw_v3	9103109	416	2996635
47353	8976	64175	1.355246764	7.149621212	96901.12522	654.8839355	14364	2638	Islets_immune	multiome_powerlaw_v3	10302599	537	2427031
64203	11410	96516	1.503294239	8.458895706	102608.9925	631.6503746	14364	0	Islets_immune	scATAC_powerlaw_v3	10302599	537	2427031
42469	8900	57623	1.356824978	6.474494382	124471.2123	799.6477431	14348	2431	Islets_mesenchymal	multiome_powerlaw_v3	34068856	1445	8215606
58507	10993	85428	1.460132976	7.771127081	135141.4281	769.3053139	14348	0	Islets_mesenchymal	scATAC_powerlaw_v3	34068856	1445	8215606
40389	9149	54439	1.347866993	5.950267789	167596.2488	864.4120429	14368	2414	WTC11_from_HPC_diff	multiome_powerlaw_v3	39879565	791	16272748
58490	11509	86497	1.478833989	7.51559649	176777.812	846.6882373	14368	0	WTC11_from_HPC_diff	scATAC_powerlaw_v3	39879565	791	16272748
44352	9234	61265	1.381335678	6.634719515	115170.5401	730.3815611	14377	2527	HCT116	multiome_powerlaw_v3	42603453	4825	23510386
65811	11568	102177	1.552582395	8.832728216	118999.106	708.9697771	14377	0	HCT116	scATAC_powerlaw_v3	42603453	4825	23510386
41350	8119	54975	1.329504232	6.771154083	116167.3106	794.8098912	14379	3565	Jurkat	multiome_powerlaw_v3	60109015	5277	37869789
67117	11436	101992	1.519615001	8.918502973	121394.1781	772.4404994	14379	0	Jurkat	scATAC_powerlaw_v3	60109015	5277	37869789
36751	8776	51814	1.409866398	5.904056518	76989.14441	1054.413268	14375	3919	K562_Xu_pl	multiome_powerlaw_v3	260716465	7821	140474092
67766	12191	103515	1.527535932	8.491099992	95975.07829	1007.589927	14375	0	K562_Xu_pl	scATAC_powerlaw_v3	260716465	7821	140474092
38132	8866	52061	1.365283751	5.871982856	90391.03469	779.5094409	14381	3513	K562_Wang_pl	multiome_powerlaw_v3	92525032	4574	75562035
63778	12091	96640	1.515256044	7.992721859	107662.3077	765.6415222	14381	0	K562_Wang_pl	scATAC_powerlaw_v3	92525032	4574	75562035
41509	8552	55775	1.343684502	6.52186623	97371.17796	825.1773109	14378	3736	K562_IGVF_pl	multiome_powerlaw_v3	85967339	8882	43302156
68586	11948	104867	1.528985507	8.776950117	99576.24443	810.9995772	14378	0	K562_IGVF_pl	scATAC_powerlaw_v3	85967339	8882	43302156
